"filename", "language", "Python", "XML", "Batch", "Properties", "C++", "PowerShell", "HTML", "JSON", "Java", "comment", "blank", "total"
"c:\Users\USER\Desktop\200000\.idea\dbnavigator.xml", "XML", 0, 454, 0, 0, 0, 0, 0, 0, 0, 0, 0, 454
"c:\Users\USER\Desktop\200000\.idea\inspectionProfiles\Project_Default.xml", "XML", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32
"c:\Users\USER\Desktop\200000\.idea\inspectionProfiles\profiles_settings.xml", "XML", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\USER\Desktop\200000\.idea\misc.xml", "XML", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\USER\Desktop\200000\.idea\modules.xml", "XML", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\USER\Desktop\200000\.idea\tank-game.iml", "XML", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10
"c:\Users\USER\Desktop\200000\TankGame.py", "Python", 490, 0, 0, 0, 0, 0, 0, 0, 0, 15, 189, 694
"c:\Users\USER\Desktop\200000\venv\Include\site\python3.8\pygame\_camera.h", "C++", 0, 0, 0, 0, 5, 0, 0, 0, 0, 18, 5, 28
"c:\Users\USER\Desktop\200000\venv\Include\site\python3.8\pygame\_pygame.h", "C++", 0, 0, 0, 0, 633, 0, 0, 0, 0, 110, 122, 865
"c:\Users\USER\Desktop\200000\venv\Include\site\python3.8\pygame\_surface.h", "C++", 0, 0, 0, 0, 5, 0, 0, 0, 0, 22, 5, 32
"c:\Users\USER\Desktop\200000\venv\Include\site\python3.8\pygame\bitmask.h", "C++", 0, 0, 0, 0, 57, 0, 0, 0, 0, 65, 25, 147
"c:\Users\USER\Desktop\200000\venv\Include\site\python3.8\pygame\camera.h", "C++", 0, 0, 0, 0, 155, 0, 0, 0, 0, 27, 20, 202
"c:\Users\USER\Desktop\200000\venv\Include\site\python3.8\pygame\fastevents.h", "C++", 0, 0, 0, 0, 17, 0, 0, 0, 0, 25, 7, 49
"c:\Users\USER\Desktop\200000\venv\Include\site\python3.8\pygame\font.h", "C++", 0, 0, 0, 0, 24, 0, 0, 0, 0, 23, 11, 58
"c:\Users\USER\Desktop\200000\venv\Include\site\python3.8\pygame\freetype.h", "C++", 0, 0, 0, 0, 82, 0, 0, 0, 0, 31, 25, 138
"c:\Users\USER\Desktop\200000\venv\Include\site\python3.8\pygame\mask.h", "C++", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 9, 26
"c:\Users\USER\Desktop\200000\venv\Include\site\python3.8\pygame\mixer.h", "C++", 0, 0, 0, 0, 34, 0, 0, 0, 0, 22, 10, 66
"c:\Users\USER\Desktop\200000\venv\Include\site\python3.8\pygame\palette.h", "C++", 0, 0, 0, 0, 93, 0, 0, 0, 0, 25, 6, 124
"c:\Users\USER\Desktop\200000\venv\Include\site\python3.8\pygame\pgarrinter.h", "C++", 0, 0, 0, 0, 20, 0, 0, 0, 0, 2, 5, 27
"c:\Users\USER\Desktop\200000\venv\Include\site\python3.8\pygame\pgbufferproxy.h", "C++", 0, 0, 0, 0, 19, 0, 0, 0, 0, 25, 9, 53
"c:\Users\USER\Desktop\200000\venv\Include\site\python3.8\pygame\pgcompat.h", "C++", 0, 0, 0, 0, 132, 0, 0, 0, 0, 24, 40, 196
"c:\Users\USER\Desktop\200000\venv\Include\site\python3.8\pygame\pgopengl.h", "C++", 0, 0, 0, 0, 9, 0, 0, 0, 0, 3, 5, 17
"c:\Users\USER\Desktop\200000\venv\Include\site\python3.8\pygame\pygame.h", "C++", 0, 0, 0, 0, 4, 0, 0, 0, 0, 27, 4, 35
"c:\Users\USER\Desktop\200000\venv\Include\site\python3.8\pygame\scrap.h", "C++", 0, 0, 0, 0, 31, 0, 0, 0, 0, 99, 14, 144
"c:\Users\USER\Desktop\200000\venv\Include\site\python3.8\pygame\surface.h", "C++", 0, 0, 0, 0, 283, 0, 0, 0, 0, 32, 69, 384
"c:\Users\USER\Desktop\200000\venv\Lib\site-packages\_distutils_hack\__init__.py", "Python", 65, 0, 0, 0, 0, 0, 0, 0, 0, 3, 29, 97
"c:\Users\USER\Desktop\200000\venv\Lib\site-packages\_distutils_hack\override.py", "Python", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\USER\Desktop\200000\venv\Lib\site-packages\easy_install.py", "Python", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Users\USER\Desktop\200000\venv\Lib\site-packages\pip\__init__.py", "Python", 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 19
"c:\Users\USER\Desktop\200000\venv\Lib\site-packages\pip\__main__.py", "Python", 11, 0, 0, 0, 0, 0, 0, 0, 0, 10, 6, 27
"c:\Users\USER\Desktop\200000\venv\Lib\site-packages\pip\_internal\__init__.py", "Python", 11, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 18
"c:\Users\USER\Desktop\200000\venv\Lib\site-packages\pip\_internal\build_env.py", "Python", 190, 0, 0, 0, 0, 0, 0, 0, 0, 19, 33, 242
"c:\Users\USER\Desktop\200000\venv\Lib\site-packages\pip\_internal\cache.py", "Python", 236, 0, 0, 0, 0, 0, 0, 0, 0, 47, 64, 347
"c:\Users\USER\Desktop\200000\venv\Lib\site-packages\pip\_internal\cli\__init__.py", "Python", 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 5
"c:\Users\USER\Desktop\200000\venv\Lib\site-packages\pip\_internal\cli\autocompletion.py", "Python", 124, 0, 0, 0, 0, 0, 0, 0, 0, 22, 19, 165
"c:\Users\USER\Desktop\200000\venv\Lib\site-packages\pip\_internal\cli\base_command.py", "Python", 190, 0, 0, 0, 0, 0, 0, 0, 0, 24, 40, 254
"c:\Users\USER\Desktop\200000\venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py", "Python", 764, 0, 0, 0, 0, 0, 0, 0, 0, 65, 147, 976
"c:\Users\USER\Desktop\200000\venv\Lib\site-packages\pip\_internal\cli\command_context.py", "Python", 23, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11, 37
"c:\Users\USER\Desktop\200000\venv\Lib\site-packages\pip\_internal\cli\main.py", "Python", 33, 0, 0, 0, 0, 0, 0, 0, 0, 27, 16, 76
"c:\Users\USER\Desktop\200000\venv\Lib\site-packages\pip\_internal\cli\main_parser.py", "Python", 58, 0, 0, 0, 0, 0, 0, 0, 0, 16, 26, 100
